taxi_id,pickup_time,pickup_lon,pickup_lat,dropoff_time,dropoff_lon,dropoff_lat,计算时长,计算距离,score,cluster
0c15dfb7360c0db615aed95a4c32db3e,1488657575,3981943,11607169,1488670502,3981928,11607163,12927,0.009911956747846826,14.729226498252062,2.0
0c7f163f547f31319b9efa29895de8df,1488698015,3993330,11629677,1488700236,4003657,11622506,2221,9.454937810963827,5.83023304259803,2.0
0cf8544655c46cf05312838a949d1192,1488690238,4000278,11655962,1488695903,4000133,11655946,5665,0.07425442205493507,8.766520825783772,2.0
0cfb24d9b28ec2cd225ce47ff3e5b5a1,1488657591,4007706,11655154,1488686258,4007707,11655161,28667,0.0077994987662949105,29.60788993247968,3.0
0cfe5b908f0f0322762d4eab4a8bce2d,1488678116,4002605,11634378,1488681456,4005370,11660987,3340,29.61959193444788,7.397752248155601,2.0
0d5cf43398aea161320a79f9a1fa9cf0,1488665517,3988193,11637669,1488667096,3976192,11630125,1579,10.267536550438685,6.194529373824446,2.0
0d8d1d4876d71a75a22941f3ea140de7,1488688846,4020029,11686857,1488691670,4012580,11664527,2824,25.108278808681934,5.12944540620946,2.0
0dc131baf359283963b4fd58bbf86701,1488703220,3986457,11643622,1488706868,4006793,11631381,3648,16.916896470074608,7.8436787353810065,2.0
0deaafbc808882cd92fdf1e314e0188f,1488681056,3991149,11667677,1488710676,3990646,11665801,29620,2.101066260054285,29.42370978092417,3.0
0df5245b922bad27472c7dc8b6617e24,1488657552,3988289,11634017,1488697346,3988298,11634021,39794,0.006284868589322554,39.99193192236675,1.0
0dfddbfe4ea99b6a8436300e58ec8ee3,1488684730,3989019,11645930,1488686335,3989012,11646027,1605,0.10791482284630824,0.0512564651178594,2.0
0e2afb1b438d4b5a083112655ece883f,1488706054,3989531,11631680,1488708956,3998722,11644771,2902,15.248469285837436,5.746881388531905,2.0
0e56360945be02b69ec143d626314aa0,1488698543,4015436,11712783,1488700430,4015432,11712776,1887,0.008043524354600071,4.889531537173338,2.0
0e7217bbe8c470a349b6cdf82e56f724,1488705080,4007923,11658259,1488709373,3983807,11637363,4293,26.130857431922202,9.54139168426821,2.0
0e91c4d2a03fdd28ccbdd5af601b5770,1488701310,4014429,11709842,1488702451,4010769,11700680,1141,10.354458558456509,5.767229554770543,2.0
0ec4b60648adfb29540292ed128121a5,1488671683,4016121,11711541,1488673003,4016122,11711544,1320,0.0033741274720876053,4.950348577999229,2.0
0f26ca666de680be7cf7c1065220a515,1488688271,3985771,11637352,1488703970,3985747,11637349,15699,0.012315226838944064,17.108100192375556,2.0
0f6d20161e1e6fd5299d364b5208026a,1488657599,3980518,11636120,1488673389,3980537,11636141,15790,0.025164858003812178,17.18636466801803,2.0
0fbe481d84c87cc166ffdbb3b6c94048,1488710133,4005306,11660862,1488713406,3988679,11633090,3273,31.961658168858744,9.15441894953937,2.0
1005c6adebc2791578c9b5a3bab6ac02,1488680740,3999216,11637424,1488684265,3986347,11647055,3525,12.459242643324624,1.972821100365888,2.0
1044f4f7554374c41c8557f2a78bbd0b,1488719931,3994759,11645348,1488725297,4008898,11629079,5366,19.391487848352288,7.754096104011228,2.0
108ecdddb75dbf82c0f55beba1b1a2a6,1488657585,3993455,11621571,1488716228,3993452,11621575,58643,0.004685557465643235,58.42736492657252,1.0
10a4a2ccd2877f799f91effd0ee7f69c,1488647862,3989198,11641246,1488647987,3988607,11641294,125,0.2971603775954509,11.05684199861047,2.0
114e5806b03197c16ad83370590cb809,1488657540,3988761,11630847,1488673779,3988774,11630846,16239,0.006502439257174676,17.72626606610609,2.0
116f34fb1a92062eeccafaee4a829f0e,1488649016,3987661,11635770,1488652954,3987337,11635778,3938,0.16019852213904756,7.633991850851721,2.0
116f75147ddcb39594bae74572bbfb61,1488684075,3999047,11647770,1488688724,3994170,11636507,4649,12.75423513289849,3.771566983812236,2.0
